,R^2_twitter,RMSE_Twitter,RMSE_L4F,Non0Weights
amsterdam,-8.526686789171414,601.1509321497929,110.0332057318897,52
barcelona,-10.326030319106623,679.7649012669568,194.22852578154607,62
berlin,-23.2678138321669,871.443113100843,149.7633443743222,52
dublin,-718.5101672286386,1119.2082304831329,41.511427438171104,56
france,-37.794405118285226,1766.5916499131254,191.65914998435966,68
germany,-29.202343047472624,2848.6941535376773,383.65798534099235,71
greece,-4.052054515055077,496.5035367905664,259.14298006953265,49
italy,-38.11515864705273,3024.7006210904096,330.2663966492531,69
london,-19.47396078351706,3574.3863627322658,510.93787051696324,92
manchester,-18.019538336036312,480.53141244095144,89.69264294725427,45
milan,-19.641308860086884,710.9202241595817,112.51361003532784,52
moscow,-123.43149603832161,777.1730421059269,63.0656962655178,58
paris,-17.860667508652142,793.8929586948349,129.13430783578494,56
portugal,-6.653064749998257,393.54234503223,126.55073250569227,44
rome,-13.018514214950686,485.68806708026835,90.34845831808389,44
russia,-269.38495691945707,2475.204568390184,175.80466941970778,70
spain,-339.06640468821644,15481.607974503795,688.7009726610802,108
switzerland,-2.5355240696263057,389.47955846227984,157.12758025653147,53
tenerife,-77.8536701541251,1176.5748922760613,106.88216748958982,57
thailand,-26.011684790542187,786.9946477361688,132.2910119644979,50
turkey,-17.40193221037429,1165.7756073800929,242.81907306535498,66
